No	B	A	CIN	S	COUT
          0	1	1	1	0	0
          1	0	1	1	0	0
          2	1	0	0	0	0
          3	0	0	1	1	0
          4	1	0	1	0	0
          5	1	1	1	0	1
          6	1	1	0	1	0
          7	1	0	0	0	1
          8	1	1	1	1	0
          9	1	0	1	1	0
         10	1	1	1	0	1
         11	0	1	1	1	1
         12	1	0	0	0	0
         13	0	0	1	0	0
         14	1	0	1	1	0
         15	1	1	1	0	0
         16	1	1	0	0	1
         17	1	0	0	0	1
         18	1	1	1	1	0
         19	1	0	1	0	1
         20	1	1	1	0	1
         21	0	1	1	1	0
         22	1	0	0	0	1
         23	0	0	1	1	0
         24	1	0	1	1	0
         25	1	1	1	0	1
         26	1	1	0	1	1
         27	1	0	0	0	0
         28	1	1	1	0	0
         29	1	0	1	1	1
         30	1	1	1	0	0
         31	0	1	1	0	1
         32	1	0	0	0	1
         33	0	0	1	1	0
         34	1	0	1	0	0
         35	1	1	1	0	1
         36	1	1	0	1	0
         37	1	0	0	0	1
         38	1	1	1	1	0
         39	1	0	1	1	0
         40	1	1	1	0	1
         41	x	x	x	1	1
         42	x	x	x	x	0
         43	x	x	x	x	0
         44	x	x	x	x	0
         45	x	x	x	x	0
         46	x	x	x	x	0
         47	x	x	x	x	0
         48	x	x	x	x	0
         49	x	x	x	x	0
