No	B	A	CIN	COUT
Vector          0	0	0	0	0	0
Vector          1	1	1	1	1	1
Vector          2	0	0	0	0	0
Vector          3	0	1	1	0	1
Vector          4	0	0	0	0	0
Vector          5	1	1	0	0	1
Vector          6	0	0	0	0	0
Vector          7	0	1	0	1	0
Vector          8	0	0	0	0	0
Vector          9	1	0	1	0	1
Vector         10	0	0	0	0	0
Vector         11	0	0	1	1	0
Vector         12	0	0	0	0	0
Vector         13	1	0	0	1	0
Vector         14	1	1	1	1	1
Vector         15	1	0	0	1	0
Vector         16	0	1	1	0	1
Vector         17	1	0	0	1	0
Vector         18	1	1	0	0	1
Vector         19	1	0	0	1	0
Vector         20	0	1	0	1	0
Vector         21	1	0	0	1	0
Vector         22	1	0	1	0	1
Vector         23	1	0	0	1	0
Vector         24	0	0	1	1	0
Vector         25	1	1	1	1	1
Vector         26	0	0	1	1	0
Vector         27	0	1	1	0	1
Vector         28	0	0	1	1	0
Vector         29	1	1	0	0	1
Vector         30	0	0	1	1	0
Vector         31	0	1	0	1	0
Vector         32	0	0	1	1	0
Vector         33	1	0	1	0	1
Vector         34	1	1	1	1	1
Vector         35	1	0	1	0	1
Vector         36	0	1	1	0	1
Vector         37	1	0	1	0	1
Vector         38	1	1	0	0	1
Vector         39	1	0	1	0	1
Vector         40	0	1	0	1	0
Vector         41	1	1	1	1	1
Vector         42	0	1	0	1	0
Vector         43	0	1	1	0	1
Vector         44	0	1	0	1	0
Vector         45	1	1	0	0	1
Vector         46	1	1	1	1	1
Vector         47	1	1	0	0	1
Vector         48	0	1	1	0	1
Vector         49	1	1	1	1	1
Vector         50	0	1	1	0	1
Vector         51	1	1	0	0	1
Vector         52	0	1	0	1	0
Vector         53	1	0	1	0	1
Vector         54	0	0	1	1	0
Vector         55	1	0	0	1	0
Vector         56	0	0	0	0	0
